Time (s),W,X,Y,Z
6.237742901,0.944958,0.01874343,-0.08080271,-0.3111297
6.257560730,0.9440457,0.01711345,-0.08084035,-0.3139701
6.279856682,0.9425893,0.01745254,-0.08145648,-0.3181407
6.299674511,0.941893,0.01947606,-0.08229943,-0.3198639
6.319492817,0.9423983,0.02114514,-0.08189151,-0.3183706
6.339310646,0.9435635,0.02080222,-0.07953829,-0.3155257
6.359128952,0.9441285,0.0190418,-0.07772789,-0.3143961
6.378946781,0.9438072,0.01809103,-0.07721241,-0.3155417
6.398765564,0.9430217,0.01859402,-0.07760556,-0.3177567
6.418582916,0.9426163,0.0192074,-0.07734192,-0.318985
6.438401699,0.9424597,0.01899222,-0.07667588,-0.3196208
6.458219528,0.9424792,0.01858117,-0.07519203,-0.3199401
6.478037834,0.9416349,0.01947669,-0.07488959,-0.3224342
6.497856617,0.9404787,0.02060322,-0.07530046,-0.3256269
6.517673969,0.9398263,0.02051641,-0.07503135,-0.3275724
6.537492752,0.9391445,0.02063458,-0.07496271,-0.3295303
6.559787750,0.9390468,0.02044738,-0.07385337,-0.3300702
6.579606056,0.9389451,0.02056541,-0.07214396,-0.3307297
6.599423885,0.9387023,0.02097002,-0.07085598,-0.3316705
6.619242668,0.9385829,0.02122579,-0.06977309,-0.3322212
6.639060497,0.9387882,0.02145197,-0.06884699,-0.33182
6.658878803,0.9392575,0.0213958,-0.06715214,-0.3308414
6.678696633,0.9393617,0.02106439,-0.06457318,-0.3310798
6.698514939,0.9387089,0.02170844,-0.06268552,-0.3332456
6.718332768,0.937601,0.02316029,-0.06228363,-0.3363276
6.738151550,0.9373543,0.02293174,-0.06158605,-0.3371584
6.757969379,0.9373742,0.02154391,-0.05996915,-0.3374858
6.777787685,0.9363578,0.01978892,-0.05911171,-0.3405526
6.797605514,0.93473,0.01936208,-0.0596864,-0.3449207
6.819901466,0.9338531,0.0195852,-0.06089884,-0.3470645
6.839719295,0.9342225,0.01886246,-0.06127933,-0.346042
6.859537601,0.9347593,0.01827714,-0.06031954,-0.3447901
6.879355431,0.9346247,0.01905017,-0.05768903,-0.3455626
6.899173737,0.9337876,0.01983336,-0.05622439,-0.348014
6.918991566,0.9338888,0.01784114,-0.05451826,-0.3481219
6.938810348,0.9339928,0.01411175,-0.05310129,-0.3482333
6.958628654,0.9331853,0.01212688,-0.0526002,-0.3505411
6.978446484,0.9311541,0.01393416,-0.05386,-0.3556468
6.998264790,0.9294565,0.01758475,-0.05578938,-0.3596064
7.018082619,0.9299991,0.01831065,-0.0549951,-0.3582873
7.037901402,0.9310179,0.01636792,-0.05255633,-0.3560947
7.057719231,0.9308518,0.01419405,-0.05045212,-0.3569257
7.077537537,0.9292971,0.01461342,-0.05056372,-0.3609215
7.099832535,0.92857,0.01589279,-0.05069083,-0.3627167
7.119651318,0.929282,0.01560154,-0.0489515,-0.3611411
7.139469147,0.9298632,0.01451968,-0.04581641,-0.3601002
7.159287453,0.9292445,0.01415003,-0.04311112,-0.3620407
7.179105759,0.9275027,0.0153652,-0.04224748,-0.3665315
7.198923588,0.9257007,0.01812943,-0.04330742,-0.3708121
7.218742371,0.9251503,0.01942061,-0.04376441,-0.3720644
7.238560200,0.924946,0.01892735,-0.04352414,-0.3726257
7.258378506,0.9244642,0.01761316,-0.04342855,-0.373895
7.278196335,0.923929,0.01683869,-0.04406312,-0.375177
7.298014641,0.923516,0.01791867,-0.04553492,-0.3759673
7.317832470,0.9240049,0.01858049,-0.04597992,-0.3746776
7.337651253,0.9248998,0.01850509,-0.04545979,-0.3725308
7.357469082,0.9253168,0.01937048,-0.04474224,-0.3715364
7.379764557,0.9240934,0.02294562,-0.04477944,-0.3743626
7.399582386,0.9218662,0.02673783,-0.04747861,-0.3792376
7.419401169,0.9219359,0.02747484,-0.05003846,-0.3786861
7.439219475,0.9235929,0.02642931,-0.05003626,-0.3747022
7.459037304,0.9246458,0.02641742,-0.04972962,-0.3721382
7.478855610,0.9244371,0.02707024,-0.04974673,-0.3726072
7.498673439,0.9240308,0.02729307,-0.05021087,-0.3735354
7.518492222,0.9235811,0.02810504,-0.05182471,-0.374366
7.538310051,0.9240718,0.02851799,-0.05309421,-0.3729432
7.558128357,0.9253657,0.02703887,-0.05275038,-0.3698814
7.577946186,0.9263401,0.0248142,-0.05104258,-0.3678326
7.597764492,0.9263683,0.02367439,-0.04943455,-0.368056
7.617583275,0.925476,0.02512396,-0.04872916,-0.3702918
7.639878273,0.9242845,0.02858699,-0.04925447,-0.3729379
7.659696579,0.92426,0.0302657,-0.04913975,-0.3728812
7.679514408,0.9246573,0.02981247,-0.04807939,-0.37207
7.699333191,0.9244,0.0292022,-0.04719101,-0.3728706
7.719151020,0.9236444,0.02991992,-0.04734626,-0.3746622
7.738969326,0.9235178,0.03108376,-0.04735241,-0.3748789
7.758787155,0.923947,0.03176693,-0.04699717,-0.3738072
7.778605461,0.9246291,0.03129662,-0.04624003,-0.3722514
7.798424244,0.9248881,0.03051099,-0.04521085,-0.3717993
7.818242073,0.9243225,0.03055031,-0.0451797,-0.3732038
7.838060379,0.9237734,0.03095878,-0.04575712,-0.3744573
7.857878208,0.9238865,0.031167,-0.0458544,-0.374149
7.877696514,0.9249868,0.02968832,-0.0447932,-0.3716709
7.897514343,0.926124,0.02669,-0.04318544,-0.369249
7.919810295,0.9258551,0.02508394,-0.04157059,-0.37022
7.939628124,0.9243537,0.02622543,-0.04139315,-0.3738942
7.959446430,0.9235341,0.02689199,-0.04087176,-0.3759241
7.979265213,0.9236793,0.02609517,-0.03904568,-0.3758173
7.999082565,0.9239573,0.02504041,-0.03740321,-0.3753726
8.018901348,0.9233516,0.02533509,-0.03688684,-0.3768913
8.038719177,0.9219473,0.02773068,-0.03726585,-0.3801093
8.058537483,0.9208988,0.03042791,-0.03846416,-0.3823189
8.078355312,0.9218957,0.02936512,-0.03761403,-0.3800775
8.098173618,0.9225808,0.02540042,-0.0362456,-0.3788316
8.117992401,0.921696,0.02278761,-0.03556518,-0.3812086
8.137810230,0.9187546,0.02564934,-0.0380072,-0.3878339
8.157628536,0.9173993,0.02992468,-0.04038199,-0.390487
8.179923534,0.9184651,0.03037063,-0.03987469,-0.387991
8.199742317,0.9193105,0.02799015,-0.03902939,-0.3862502
8.219560146,0.9194713,0.02561353,-0.04032148,-0.3858994
8.239378452,0.920073,0.02377132,-0.04234798,-0.3843631
8.259196758,0.9207659,0.02264513,-0.04324816,-0.3826678
8.279014587,0.9207362,0.02291081,-0.04390963,-0.3826483
8.298833370,0.920824,0.02302128,-0.04371107,-0.3824528
8.318651199,0.9206851,0.02328212,-0.04321077,-0.3828283
8.338469505,0.9203428,0.02411663,-0.04338377,-0.3835792
8.358287335,0.9202529,0.02509432,-0.04386424,-0.3836775
8.378105640,0.9203133,0.02606324,-0.04442173,-0.3834037
8.397924423,0.9206165,0.0269478,-0.04496072,-0.382551
8.417742252,0.9211078,0.02791891,-0.04523746,-0.3812639
8.437560558,0.9223371,0.02752879,-0.04447004,-0.3784001
8.459855557,0.9237756,0.02647155,-0.0434814,-0.3750665
8.479674339,0.9248462,0.02523674,-0.04322818,-0.3725344
8.499492169,0.9258842,0.02295625,-0.04310123,-0.3701102
8.519310475,0.9266148,0.02064987,-0.04299411,-0.368426
8.539128780,0.9269557,0.0196176,-0.04305296,-0.3676172
8.558946610,0.9273622,0.01970519,-0.04327986,-0.3665591
8.578765392,0.9284691,0.02003627,-0.04367409,-0.363681
8.598583222,0.9304352,0.0193718,-0.0423181,-0.35882
8.618401528,0.9317216,0.01902198,-0.04094234,-0.3556466
8.638219834,0.9321198,0.02022363,-0.03990866,-0.3546529
8.658037663,0.9323468,0.02309741,-0.04012521,-0.3538553
8.677856445,0.9336789,0.02504056,-0.04013643,-0.3501904
8.697674275,0.935719,0.02498097,-0.03933426,-0.344799
8.717492581,0.9371512,0.02420467,-0.03799106,-0.3410955
