Time (s),Roll (deg),Pitch (deg),Yaw (deg)
7.638956070,0.1672106,0.002670282,-162.2641
7.658771992,0.1684841,0.001824076,-162.2668
7.678587914,0.1706069,-1.951673E-05,-162.2613
7.698404312,0.1696692,0.0009084468,-162.2572
7.718220234,0.1689778,0.0005043467,-162.2536
7.740512371,0.1684155,0.0001078973,-162.2518
7.760328293,0.1693015,0.001614624,-162.2494
7.780144215,0.1694968,0.002707968,-162.2508
7.799960137,0.1683479,0.002937523,-162.2526
7.819775582,0.1683067,0.001919443,-162.2541
7.839592457,0.1684068,0.0004603407,-162.2577
7.859407902,0.1688259,0.001540209,-162.2607
7.879223824,0.1684815,0.001300184,-162.2648
7.899039746,0.1678737,0.001289062,-162.2677
7.918855667,0.1677875,0.00339371,-162.2684
7.938671112,0.1674708,0.001780568,-162.2628
7.958487034,0.1660274,0.001438882,-162.2575
7.978302956,0.1669144,0.0006266265,-162.2549
7.998118877,0.1659796,0.0009234012,-162.2535
8.020411968,0.1649336,-0.001062738,-162.2558
8.040227890,0.1629637,-0.0001711233,-162.2669
8.060043335,0.1653316,-0.0004464302,-162.2782
8.079859257,0.1640379,-0.001665461,-162.2762
8.099675179,0.1629809,-0.0009009729,-162.2732
8.119491100,0.1624532,-0.002173039,-162.2702
8.139306545,0.1608565,-0.002420823,-162.2717
8.159122467,0.1611308,-0.001587102,-162.2733
8.178938866,0.1609516,-0.001940092,-162.2798
8.198754787,0.1611029,-0.000941844,-162.2868
8.218570709,0.162074,-0.001443998,-162.2926
8.238386631,0.1601098,-5.46932E-05,-162.2908
8.258202076,0.1619644,-0.0004888488,-162.2866
8.280495167,0.1623829,-0.0002232468,-162.285
8.300311089,0.1623687,-0.0002562555,-162.2865
8.320127010,0.1640302,-0.002431912,-162.285
8.339942932,0.164103,-0.00348038,-162.2767
8.359758854,0.1642595,-0.003511723,-162.2695
8.379574299,0.1636463,-0.002752426,-162.2678
8.399390221,0.1620211,-0.001983069,-162.268
8.419206143,0.161654,-0.001434938,-162.2699
8.439022064,0.1586018,-0.0006327413,-162.2789
8.458837509,0.1575359,-0.001050972,-162.2888
8.478654385,0.1561752,-0.002219543,-162.2908
8.498469830,0.1560511,-0.002487074,-162.2868
8.518285751,0.1555617,-0.00346803,-162.2837
8.540578365,0.1563545,-0.00404409,-162.2923
8.560394764,0.1579164,-0.004917666,-162.3005
8.580210686,0.157003,-0.005892087,-162.3072
8.600026131,0.1554164,-0.00656983,-162.3141
8.619842053,0.1559865,-0.007852438,-162.3199
8.639657974,0.1563608,-0.008540469,-162.3206
8.659473896,0.1542157,-0.007860905,-162.3215
8.679289818,0.1529942,-0.006833873,-162.3217
8.699105263,0.1527705,-0.007626434,-162.319
8.718921185,0.1508722,-0.008585562,-162.3176
8.738737583,0.1514643,-0.009722543,-162.3124
8.758553505,0.1520253,-0.009232834,-162.3065
8.778369427,0.1501181,-0.008210193,-162.3062
8.798185349,0.1511793,-0.008344723,-162.3096
8.820478440,0.1520142,-0.008136482,-162.3127
8.840293884,0.1510617,-0.00746212,-162.3136
8.860109806,0.1515619,-0.007523133,-162.314
8.879925728,0.150563,-0.007753682,-162.3113
8.899741650,0.1520732,-0.009421866,-162.3035
8.919557095,0.1516861,-0.009829209,-162.2961
8.939373017,0.1505979,-0.009337625,-162.2996
8.959188938,0.148111,-0.009202957,-162.3017
8.979005337,0.1482407,-0.01016085,-162.3008
8.998821259,0.148021,-0.009652591,-162.2948
9.018637180,0.1460476,-0.01019401,-162.289
9.038452625,0.1454103,-0.01119806,-162.2855
9.058268547,0.1436186,-0.01044952,-162.2827
9.078084469,0.1442151,-0.008954283,-162.2795
9.100377560,0.144477,-0.008850907,-162.2734
9.120193481,0.1461678,-0.009610442,-162.2677
9.140009403,0.146412,-0.00960745,-162.2737
9.159824848,0.1459584,-0.01070197,-162.2818
9.179641724,0.1463658,-0.01094049,-162.282
9.199457169,0.1441051,-0.01120529,-162.2704
9.219273090,0.1418827,-0.01123797,-162.2601
9.239089012,0.14099,-0.01191424,-162.2597
9.258904934,0.1388106,-0.01319119,-162.2633
9.278720379,0.1383621,-0.01304181,-162.2672
9.298536301,0.1381336,-0.01478682,-162.2686
9.318352699,0.1388274,-0.01495779,-162.271
9.338168621,0.1377275,-0.01428314,-162.2698
9.360461235,0.1363067,-0.01434658,-162.2661
9.380277634,0.135112,-0.01438912,-162.2619
9.400093556,0.1338278,-0.01417055,-162.2522
9.419909000,0.1320059,-0.01585783,-162.2438
9.439724922,0.1301145,-0.01734529,-162.24
9.459540844,0.1315808,-0.01942241,-162.2386
9.479356766,0.1321558,-0.02118431,-162.2357
9.499172688,0.1314945,-0.02068494,-162.2332
9.518989086,0.1339706,-0.02137353,-162.2305
9.538804531,0.1335569,-0.02256337,-162.2299
9.558620453,0.1330174,-0.02243442,-162.231
9.578436375,0.1324496,-0.02266584,-162.2325
9.598252297,0.1322775,-0.02209697,-162.2296
9.618068218,0.1302644,-0.02109267,-162.228
9.640361309,0.1308781,-0.02098525,-162.2282
9.660176754,0.1288338,-0.02059161,-162.2301
9.679993630,0.1277973,-0.02022152,-162.2305
9.699809075,0.127792,-0.02102874,-162.2261
9.719624996,0.1289624,-0.02159644,-162.2201
9.739440918,0.1300386,-0.02242834,-162.2133
9.759256840,0.1318742,-0.02315285,-162.2053
9.779072285,0.1312501,-0.02438211,-162.1986
9.798889160,0.1287218,-0.02381258,-162.1964
9.818704605,0.1296985,-0.02498952,-162.1939
9.838520527,0.1301631,-0.02466883,-162.1919
9.858336449,0.128243,-0.02359004,-162.1899
9.878152371,0.127839,-0.02331043,-162.1872
9.900445461,0.1256323,-0.02346178,-162.1748
9.920260906,0.1266639,-0.02359095,-162.1641
9.940076828,0.127957,-0.02720281,-162.1598
9.959893227,0.1263056,-0.0303101,-162.1634
9.979709148,0.1253771,-0.02949981,-162.1678
9.999525070,0.1262009,-0.02870481,-162.1721
10.019340992,0.1250951,-0.02633708,-162.1772
10.039156914,0.124594,-0.02657045,-162.1857
10.058972359,0.1226584,-0.02546066,-162.1993
10.078788757,0.1221057,-0.02703345,-162.2115
10.098604679,0.1208715,-0.02752367,-162.2097
10.118420601,0.1196778,-0.02683491,-162.2078
10.138236523,0.1183592,-0.0260885,-162.2064
10.160529614,0.1202734,-0.02618871,-162.2081
10.180345535,0.1176771,-0.02636645,-162.2101
10.200160980,0.1158518,-0.02668437,-162.2051
10.219977856,0.1148854,-0.02546329,-162.2007
10.239793301,0.115879,-0.0256045,-162.2011
10.259609222,0.1163036,-0.0267683,-162.2075
10.279425144,0.1173427,-0.02527697,-162.2152
10.299241066,0.1173395,-0.02690144,-162.2195
10.319057465,0.1184158,-0.02737294,-162.2223
10.338873386,0.1179481,-0.02733191,-162.2221
10.358688831,0.1186827,-0.02711288,-162.2196
10.378504753,0.1177746,-0.02711817,-162.2174
10.398320675,0.1165095,-0.02895948,-162.2256
10.418137074,0.1153215,-0.02968311,-162.2376
10.440429688,0.1163801,-0.03108315,-162.247
10.460245133,0.115919,-0.03235316,-162.2503
10.480062008,0.1182477,-0.03357708,-162.2513
10.499877453,0.1164777,-0.03439084,-162.2525
10.519693375,0.1164608,-0.03514599,-162.2541
10.539509297,0.1165665,-0.03559695,-162.2527
10.559325695,0.1156531,-0.03686362,-162.2426
10.579141617,0.1129684,-0.03603963,-162.2339
10.598957539,0.1106403,-0.03602501,-162.2377
10.618772984,0.1102842,-0.03530675,-162.2441
10.638588905,0.1096834,-0.03521696,-162.2472
10.658405304,0.1085195,-0.03489894,-162.2405
10.678221226,0.1087,-0.03466857,-162.2334
10.700514317,0.1065396,-0.0344232,-162.2348
10.720330239,0.106996,-0.03480567,-162.2402
10.740146160,0.1074145,-0.0353872,-162.243
10.759961605,0.1062666,-0.03602106,-162.2403
10.779777527,0.1051159,-0.03622787,-162.2372
10.799593926,0.1058192,-0.03610461,-162.2324
10.819409847,0.1062422,-0.03575768,-162.2276
10.839225769,0.1054377,-0.03820242,-162.222
10.859041691,0.1065819,-0.03809893,-162.214
10.878858090,0.1067327,-0.03764819,-162.2081
10.898674011,0.1042929,-0.03683401,-162.2039
10.918489456,0.1051489,-0.03687689,-162.2006
10.938305378,0.1047269,-0.03635731,-162.197
10.958121777,0.1062265,-0.03736297,-162.2004
10.980414391,0.1056787,-0.0371917,-162.2051
11.000230789,0.1069316,-0.0382823,-162.2065
11.020046711,0.1079434,-0.04008448,-162.2083
11.039862633,0.1072458,-0.03931766,-162.2091
11.059678555,0.1074135,-0.04104621,-162.2064
11.079493999,0.1078236,-0.04014575,-162.2036
11.099310398,0.1078303,-0.03976815,-162.1997
11.119126320,0.1081721,-0.03987941,-162.1979
11.138942242,0.1097266,-0.04194276,-162.1951
11.158758163,0.1099462,-0.04175454,-162.1978
11.178574562,0.1100891,-0.04006928,-162.2014
11.198390484,0.1110607,-0.04208374,-162.2041
11.218205929,0.1098385,-0.04323276,-162.2072
11.240499497,0.1087178,-0.04316956,-162.2114
